Step,Time (seconds)
Fetch buffer,0.8718247413635254
Tracking,6.419838905334473
Re-ID,0.09279203414916992
Re-ID,0.18397021293640137
Update light position,0.0012979507446289062
Fetch buffer,0.9103028774261475
Tracking,0.22594785690307617
Re-ID,0.08808612823486328
Re-ID,0.18034100532531738
Update light position,0.0006923675537109375
Fetch buffer,0.5312750339508057
Tracking,0.23176789283752441
Re-ID,0.0967559814453125
Re-ID,0.19728994369506836
Update light position,0.0005319118499755859
Fetch buffer,0.5505681037902832
Tracking,0.3635749816894531
Re-ID,0.08822989463806152
Re-ID,0.18542194366455078
Update light position,0.000637054443359375
Fetch buffer,0.5383820533752441
Tracking,0.2147982120513916
Re-ID,0.08643293380737305
Re-ID,0.17920804023742676
Update light position,0.0007040500640869141
Fetch buffer,0.5289866924285889
Tracking,0.23297476768493652
Re-ID,0.08828997611999512
Re-ID,0.18276596069335938
Update light position,0.0005781650543212891
Fetch buffer,0.5326180458068848
Tracking,0.21575403213500977
Re-ID,0.08817315101623535
Re-ID,0.19036436080932617
Update light position,0.0008349418640136719
Fetch buffer,0.5433218479156494
Tracking,0.21994590759277344
Re-ID,0.09186935424804688
Re-ID,0.19062304496765137
Update light position,0.0005717277526855469
Fetch buffer,0.5689449310302734
Tracking,0.22669506072998047
Re-ID,0.09430408477783203
Re-ID,0.1943511962890625
Update light position,0.0007059574127197266
Fetch buffer,0.5903277397155762
Tracking,0.23357582092285156
Re-ID,0.09670090675354004
Re-ID,0.20015811920166016
Update light position,0.0005929470062255859
Fetch buffer,0.6428020000457764
Tracking,0.2406463623046875
Re-ID,0.10373091697692871
Re-ID,0.21481585502624512
Update light position,0.0006330013275146484
Fetch buffer,0.6256721019744873
Tracking,0.24411988258361816
Re-ID,0.10405802726745605
Re-ID,0.22351789474487305
Update light position,0.0006630420684814453
Fetch buffer,0.6759359836578369
Tracking,0.25833702087402344
Re-ID,0.10785603523254395
Re-ID,0.22134685516357422
Update light position,0.0006928443908691406
Fetch buffer,0.646608829498291
Tracking,0.2597999572753906
Re-ID,0.11107301712036133
Re-ID,0.22933292388916016
Update light position,0.0006930828094482422
Fetch buffer,0.742396354675293
Tracking,0.2728419303894043
Re-ID,0.11620187759399414
Re-ID,0.24834704399108887
Update light position,0.0007538795471191406
Fetch buffer,0.7199609279632568
Tracking,0.28496599197387695
Re-ID,0.11587810516357422
Re-ID,0.26778697967529297
Update light position,0.001207113265991211
Fetch buffer,0.9091169834136963
Tracking,0.26958394050598145
Re-ID,0.12025189399719238
Re-ID,0.2366960048675537
Update light position,0.0006949901580810547
Fetch buffer,0.6852548122406006
Tracking,0.2690701484680176
Re-ID,0.12013888359069824
Re-ID,0.25063085556030273
Update light position,0.0007078647613525391
Fetch buffer,0.7077140808105469
Tracking,0.2722189426422119
Re-ID,0.11675906181335449
Re-ID,0.2325587272644043
Update light position,0.0006778240203857422
Fetch buffer,0.673358678817749
Tracking,0.26464414596557617
Re-ID,0.11444497108459473
Re-ID,0.22416210174560547
Update light position,0.0006620883941650391
Fetch buffer,0.6584811210632324
Tracking,0.2531890869140625
Re-ID,0.1053929328918457
Re-ID,0.2158339023590088
Update light position,0.0006940364837646484
Fetch buffer,0.6458590030670166
Tracking,0.250870943069458
Re-ID,0.1240689754486084
Re-ID,0.23612403869628906
Update light position,0.0006620883941650391
Fetch buffer,0.6003122329711914
Tracking,0.2307300567626953
Re-ID,0.0956108570098877
Re-ID,0.19544482231140137
Update light position,0.0006268024444580078
Fetch buffer,0.5921840667724609
Tracking,0.23518776893615723
Re-ID,0.0934758186340332
Re-ID,0.22113585472106934
Update light position,0.0008478164672851562
Fetch buffer,0.8103761672973633
Tracking,0.2238757610321045
Re-ID,0.0927121639251709
Re-ID,0.1882789134979248
Update light position,0.0006437301635742188
Fetch buffer,0.5673468112945557
Tracking,0.22376012802124023
Re-ID,0.09616804122924805
Re-ID,0.20366883277893066
Update light position,0.0005960464477539062
Fetch buffer,0.5672330856323242
Tracking,0.2215113639831543
Re-ID,0.09321117401123047
Re-ID,0.19358420372009277
Update light position,0.0007648468017578125
Fetch buffer,0.579160213470459
Tracking,0.2196810245513916
Re-ID,0.09318876266479492
Re-ID,0.19437217712402344
Update light position,0.0005791187286376953
Fetch buffer,0.6337368488311768
Tracking,0.27025508880615234
Re-ID,0.09713101387023926
Re-ID,0.20222187042236328
Update light position,0.0009400844573974609
Fetch buffer,0.575145959854126
Tracking,0.22612881660461426
Re-ID,0.0971379280090332
Re-ID,0.19825100898742676
Update light position,0.0005650520324707031
Fetch buffer,0.5871028900146484
Tracking,0.2291860580444336
Re-ID,0.0953826904296875
Re-ID,0.19789576530456543
Update light position,0.0005781650543212891
Fetch buffer,0.5772271156311035
Tracking,0.2341930866241455
Re-ID,0.10013103485107422
Re-ID,0.20400404930114746
Update light position,0.0006248950958251953
Fetch buffer,0.6032581329345703
