search_type,best_score,target_string,chunk_text,page_number
local,0,         ,,
local,0,              ,,
local,0,      ,,
local,0, okay,,
local,0, im going to go ahead and do that,,
global,0," . . . . . . . . ., . . . . . . . . . . . . . ., . . . . . ., Okay., I'm going to go ahead and do that.",,
local,0, so round your engine,,
local,88, so romeo and juliet i hate william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,79, so romeo entered yet by william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,58, so from your entry to the end point william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,88, so romeo and juliet i hate william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,79, so romeo entered yet by william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,61, so im going to enter the end by william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,78, yet i hate william shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
local,69, video for shakespeare,romeo and juliet by william shakespeare verona italy—1590s july romeo,1
