method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
simple_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady, verona brought me in to you yet bye,40
partial_ratio,1,523,2,son of montague benvoliomontague cousin of romeo balthasar montague servant, verona brought me in to you yet bye,48
token_sort_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant, verona brought me in to you yet bye,41
token_set_ratio,1,523,2,son of montague benvoliomontague cousin of romeo balthasar montague servant, verona brought me in to you yet bye,43
partial_token_sort_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant, verona brought me in to you yet bye,49
simple_ratio,1,455,6,montaguemother of romeo julietdaughter of capulet age 13 tybalt capulet, verona romeo juliet by william shakespeare verona italy 1950s,44
partial_ratio,1,535,1,shakespeare verona italy—1590s july romeo son of montague benvoliomontague cousin, verona romeo juliet by william shakespeare verona italy 1950s,61
token_sort_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet, verona romeo juliet by william shakespeare verona italy 1950s,44
token_set_ratio,1,535,1,shakespeare verona italy—1590s july romeo son of montague benvoliomontague cousin, verona romeo juliet by william shakespeare verona italy 1950s,71
partial_token_sort_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet, verona romeo juliet by william shakespeare verona italy 1950s,50
simple_ratio,1,455,6,montaguemother of romeo julietdaughter of capulet age 13 tybalt capulet, verona romeo juliet by william shakespeare verona italy 1950s,44
partial_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo, verona romeo juliet by william shakespeare verona italy 1950s,87
token_sort_ratio,1,314,18,escalusprince of verona friar lawrencefranciscan who marries romeo juliet friar, verona romeo juliet by william shakespeare verona italy 1950s,46
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo, verona romeo juliet by william shakespeare verona italy 1950s,94
partial_token_sort_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet, verona romeo juliet by william shakespeare verona italy 1950s,50
simple_ratio,1,418,8,cousin of juliet sampson capulet servant gregorycapulet servant lord capulet, romeo juliet by william shakespeare for rowanah italy 1950s,43
partial_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo, romeo juliet by william shakespeare for rowanah italy 1950s,85
token_sort_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto, romeo juliet by william shakespeare for rowanah italy 1950s,45
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo, romeo juliet by william shakespeare for rowanah italy 1950s,85
partial_token_sort_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, romeo juliet by william shakespeare for rowanah italy 1950s,52
simple_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,romeo juliet by william shakespeare for rowanah italy 1950s from,42
partial_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,romeo juliet by william shakespeare for rowanah italy 1950s from,83
token_sort_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,romeo juliet by william shakespeare for rowanah italy 1950s from,45
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,romeo juliet by william shakespeare for rowanah italy 1950s from,83
partial_token_sort_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,romeo juliet by william shakespeare for rowanah italy 1950s from,52
simple_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,by william shakespeare for owner italy 1950s for a marathon,40
partial_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,by william shakespeare for owner italy 1950s for a marathon,72
token_sort_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,by william shakespeare for owner italy 1950s for a marathon,50
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,by william shakespeare for owner italy 1950s for a marathon,71
partial_token_sort_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,by william shakespeare for owner italy 1950s for a marathon,49
simple_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,william shakespeare verona italy 1950s for a mere son i,42
partial_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,william shakespeare verona italy 1950s for a mere son i,79
