model,beam_size,cpu_threads,latency_mean,latency_std,wer_mean,wer_std
faster_whisper_base.en_cpu_int16_beam1_threads1,1,1,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads2,1,2,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads3,1,3,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads4,1,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads5,1,5,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads6,1,6,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads7,1,7,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads8,1,8,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads9,1,9,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads10,1,10,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam1_threads4,1,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam2_threads4,2,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam3_threads4,3,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam4_threads4,4,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam5_threads4,5,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam6_threads4,6,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam7_threads4,7,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam8_threads4,8,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam9_threads4,9,4,nan,nan,nan,nan
faster_whisper_base.en_cpu_int16_beam10_threads4,10,4,nan,nan,nan,nan
