search_type,best_score,target_string,chunk_text,page_number
local,0,im sorry im sorry im wrong yo son of a,,
local,51,one of more to give a bent earlier more to,of romeo balthasar montague servant to romeo abram montague servant,1
local,0,oh yeah i want to keep causing a throw here,,
local,0,thank you cousin ill throw you out pathosar modicu7 to,,
local,53, path is all multiq7 to our mere abraham multiq7,of romeo balthasar montague servant to romeo abram montague servant,1
local,55,this is all motuku 7 to our mir abraham motuku,of romeo balthasar montague servant to romeo abram montague servant,1
local,0, you said it,,
local,0, dont say it,,
local,0, dont serve capital at age 30,,
local,0, dont have capital h13 capital h13,,
local,52, dont serve capital h13 capital that doesnt adhere to capital,of romeo balthasar montague servant to romeo abram montague servant,1
local,0,dont serve capital h13 capital doesnt do yet capital 7,,
local,60,dont serve capital at age 13 capital at cousin until,capulet age 13 tybalt capulet cousin of juliet sampson capulet,1
local,0,dont serve capital h13 capital that doesnt do yet capital,,
local,60,dont serve capital at age 13 capital at cousin until,capulet age 13 tybalt capulet cousin of juliet sampson capulet,1
local,0,based on the 2nd quarter of 59mm with corrections and,,
local,51,second quarter of 59 with collections and also in text,father of juliet in his 50s lady capulet mother of,1
local,52,of 1599 with corrections and alternate texts and repetitions indicated,servant to nurse mercutio friend of romeo related to prince,1
local,0,in line with corrections and also take some other additions,,
local,0,and alternate texts and repetitions indicated as first quarter of,,
local,0,of auditions indicated as first quarter of 1597 second quarter,,
local,0, 1529 440 by 1622,,
local,0, which i had by 1622 first value of 1623,,
global,62, which i had by 1622 first value of 1623,to die by her side 5161 he buys poison from,72
local,67,the first failure of 1623 and four natural additions the,of 1623 and for later editions first performed around 1595,1
local,67,the first failure of 1623 and four natural additions first,of 1623 and for later editions first performed around 1595,1
local,87,of 1623 and for that traditions first performed around 1595,of 1623 and for later editions first performed around 1595,1
local,71,first performed around 1595 by not being matched with a,of 1623 and for later editions first performed around 1595,1
local,57,from around 1595 by not being matched as a fork,of 1623 and for later editions first performed around 1595,1
local,81,earth pronunciation stage directions are clarified so i know its,some indications of pronunciation stage directions are clarified side notes,1
local,80,earth pronunciation stage directions are clarified sign out to the,some indications of pronunciation stage directions are clarified side notes,1
local,80,earth pronunciation stage directions are clarified sign out to the,some indications of pronunciation stage directions are clarified side notes,1
local,79,earth pronunciation stage directions are clarified signers are given for,some indications of pronunciation stage directions are clarified side notes,1
local,71,stage directions are clarified sign out to the game for,some indications of pronunciation stage directions are clarified side notes,1
local,56,signers again for the capital you think youd have language,are given for vocabulary figurative language and allusions this script,1
local,50, capabilities and different language solutions,are given for vocabulary figurative language and allusions this script,1
local,100, two households two households,performance david hundsness editor 2004 prologue chorus 101 two households,2
